"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",45,38,28,10,114,30,12,13,119,16
"2",13,19,41,11,12,23,58,53,52,15
"3",39,12,11,44,72,69,70,11,13,18
"4",20,20,72,108,22,19,19,85,19,107
"5",220,31,17,64,217,12,42,16,15,19
"6",39,11,46,73,28,28,37,29,76,77
"7",45,15,14,99,12,11,105,11,17,35
"8",28,43,14,14,10,19,34,43,36,22
"9",15,25,22,23,23,37,24,13,19,25
"10",21,16,72,77,26,11,19,21,13,18
"11",13,NA,21,17,NA,38,NA,18,17,11
"12",452,15,483,153,NA,45,37,35,16,18
"13",33,36,12,14,26,19,27,27,11,14
"14",43,11,39,39,11,10,12,13,15,32
"15",19,35,32,36,13,24,17,12,14,15
"16",12,38,14,14,41,70,31,47,68,12
"17",18,20,24,12,21,12,11,15,34,29
"18",51,11,17,32,20,22,112,14,68,56
"19",23,14,193,13,26,178,58,15,169,54
"20",93,19,92,11,29,13,88,18,10,14
"21",41,99,29,10,13,10,18,46,25,15
"22",10,73,18,14,13,52,68,19,40,52
"23",17,221,29,14,33,201,178,34,188,28
"24",36,15,44,145,8,24,160,19,126,36
"25",10,18,22,31,61,55,66,11,14,18
"26",48,42,26,8,11,13,62,18,73,41
"27",20,106,70,13,9,10,102,11,12,11
"28",30,72,9,10,18,9,80,21,10,53
"29",14,24,13,18,105,126,17,111,12,140
"30",242,249,288,37,16,11,249,12,20,226
"31",17,16,120,14,15,14,116,30,9,20
"32",190,29,103,17,31,33,27,195,37,17
"33",74,31,15,102,11,22,17,25,86,98
"34",19,29,15,67,213,15,25,10,81,216
"35",26,182,23,22,187,21,172,20,20,19
"36",11,9,11,197,184,208,19,7,11,32
"37",44,12,15,15,14,13,20,42,29,12
"38",38,15,15,25,10,27,37,14,13,10
"39",NA,NA,NA,NA,NA,16,NA,NA,NA,23
"40",86,9,8,25,16,90,18,20,10,102
"41",87,10,52,9,23,12,93,20,32,82
"42",13,115,26,30,13,34,128,101,154,8
"43",11,53,21,45,67,71,8,16,9,12
"44",26,40,43,16,12,16,11,16,15,13
"45",50,14,68,7,8,18,14,20,53,61
"46",13,8,26,9,54,58,8,34,48,20
"47",10,50,137,13,35,82,116,27,120,22
"48",11,12,NA,12,27,39,NA,10,11,NA
"49",46,22,38,46,23,8,9,24,13,32
"50",251,16,57,131,11,39,8,33,38,192
"51",8,37,49,8,9,41,6,18,12,51
"52",22,58,10,11,9,29,8,31,12,31
"53",42,33,13,31,11,30,14,15,10,19
"54",31,17,22,23,24,13,19,18,21,7
"55",14,46,21,30,16,24,NA,32,NA,19
"56",28,22,15,46,29,26,24,48,27,22
"57",14,21,34,10,19,13,33,24,16,23
"58",57,46,10,42,43,65,61,9,57,12
"59",90,22,44,10,15,89,12,12,85,36
"60",12,23,16,67,14,73,77,13,11,14
"61",32,13,15,12,23,15,39,11,16,13
"62",22,13,46,8,23,15,12,36,45,28
"63",11,134,15,16,19,33,147,116,48,16
"64",46,28,26,45,13,42,21,16,22,15
"65",42,32,9,27,12,13,47,42,13,12
"66",52,23,13,17,92,76,109,17,20,22
"67",13,25,63,17,15,48,20,24,17,11
"68",28,91,22,12,15,21,92,28,29,41
"69",33,NA,NA,16,18,17,16,12,14,NA
"70",23,14,24,9,8,61,42,53,12,17
"71",42,27,26,20,31,17,40,19,22,45
"72",21,32,61,25,15,320,59,80,387,30
"73",120,8,10,183,110,13,115,15,110,166
"74",28,14,116,109,11,11,98,8,24,18
"75",16,16,213,35,284,14,9,71,41,111
"76",13,18,20,11,13,14,17,13,11,11
"77",30,88,14,13,16,22,158,157,62,11
"78",46,10,14,53,16,23,18,41,51,14
"79",11,14,70,17,67,18,54,12,9,9
"80",55,12,54,20,23,22,16,22,48,39
"81",33,140,20,8,12,108,25,148,59,14
"82",88,14,15,14,16,12,89,34,29,71
"83",57,16,297,25,12,23,15,16,33,17
"84",19,20,18,35,37,12,22,15,28,12
"85",25,16,34,NA,14,NA,NA,17,69,20
"86",140,124,8,20,153,18,26,139,20,16
"87",12,60,NA,489,14,43,NA,37,22,10
"88",167,159,10,19,49,10,28,16,150,72
"89",11,12,12,27,152,31,62,33,11,153
"90",27,16,100,63,31,35,101,13,15,25
"91",19,79,63,24,20,11,12,18,76,13
"92",29,16,11,11,19,13,12,27,14,12
"93",14,13,12,95,14,16,76,11,106,11
"94",10,18,12,11,39,13,36,16,33,12
"95",56,12,11,52,259,12,432,15,24,28
"96",97,94,402,54,14,11,6,32,16,19
"97",17,108,120,27,122,17,14,11,24,10
"98",NA,NA,NA,NA,NA,NA,NA,NA,18,NA
"99",17,43,14,10,13,22,11,13,47,12
"100",13,26,15,78,12,19,24,23,10,75
"101",52,11,14,15,18,76,12,42,14,13
"102",16,43,41,26,13,24,15,12,19,42
"103",13,19,10,13,51,18,37,31,13,51
"104",11,41,31,77,72,19,36,76,56,21
"105",14,16,111,21,18,95,111,39,22,37
"106",39,9,8,8,18,11,10,35,26,21
"107",70,33,15,72,20,14,15,16,46,12
"108",19,16,57,179,163,29,146,186,41,16
"109",21,22,46,21,26,11,15,31,45,39
"110",126,16,15,124,11,37,10,138,19,12
"111",14,8,17,16,8,10,12,10,12,29
"112",10,14,345,44,15,12,167,11,27,75
"113",119,9,43,14,52,14,118,51,10,10
"114",23,176,11,342,14,17,185,376,15,26
"115",35,23,22,16,10,54,12,31,55,22
"116",10,10,20,8,10,13,25,19,28,20
"117",10,14,18,76,12,24,65,44,62,13
"118",11,143,22,13,16,34,49,107,81,16
"119",158,133,11,15,146,13,18,16,14,158
"120",23,24,11,16,50,17,48,9,14,35
"121",10,10,36,10,25,37,15,14,16,14
"122",144,14,17,148,11,35,25,64,13,153
"123",57,11,12,54,46,10,31,58,12,41
"124",11,12,24,9,7,188,43,39,177,31
"125",77,13,55,19,70,9,80,29,9,22
"126",17,21,23,11,23,8,9,17,7,14
"127",109,11,11,16,8,37,85,112,16,23
"128",27,11,69,53,69,39,17,156,30,26
"129",13,168,24,28,16,186,18,105,126,10
"130",15,26,21,15,14,9,10,13,11,22
"131",143,15,14,108,168,136,18,9,56,15
"132",82,89,17,9,57,15,11,17,11,28
"133",247,19,35,14,305,12,17,34,31,12
"134",59,13,228,16,13,202,10,215,10,12
"135",296,79,18,311,304,9,9,11,13,28
"136",205,218,192,12,16,32,16,17,9,26
"137",140,12,23,17,8,27,11,13,24,159
"138",17,98,15,40,16,21,68,14,160,162
"139",18,78,12,9,14,6,67,12,8,10
"140",10,10,10,9,10,9,9,11,35,26
"141",43,45,19,19,15,17,30,52,51,25
"142",21,78,25,74,21,27,32,19,66,14
"143",65,23,20,21,20,36,64,24,23,12
"144",23,11,11,17,8,10,10,9,19,17
"145",19,21,17,31,21,9,41,47,38,43
"146",20,109,39,19,24,28,12,102,82,22
"147",11,21,14,9,267,228,262,12,10,15
"148",10,57,13,27,216,23,196,217,35,24
"149",16,12,15,11,77,75,14,18,73,13
"150",27,15,21,10,32,88,26,12,87,69
"151",20,30,28,21,21,32,16,14,12,18
"152",15,116,121,19,45,12,17,124,46,18
"153",10,13,68,74,34,21,9,13,8,64
"154",31,24,119,14,101,14,19,14,14,45
"155",196,62,39,16,7,36,188,9,8,33
"156",132,18,9,147,10,45,48,18,137,20
"157",55,9,8,10,10,53,12,14,51,11
"158",12,26,13,14,9,26,15,32,11,19
"159",14,14,16,174,33,175,140,176,15,14
"160",43,43,12,9,35,9,12,18,23,41
"161",12,83,103,89,11,103,26,10,8,10
"162",102,15,12,81,9,11,12,88,13,17
"163",16,213,207,220,12,7,7,14,49,15
"164",29,16,17,9,24,358,82,16,124,14
"165",29,34,24,83,80,85,15,18,21,32
"166",20,37,18,18,20,17,12,36,61,11
"167",24,24,22,28,12,12,12,22,34,31
"168",13,11,8,13,25,10,32,10,13,15
"169",28,38,57,23,52,95,135,136,43,13
"170",10,35,12,93,59,20,229,14,14,14
"171",11,43,19,26,12,11,48,42,16,21
"172",417,425,17,13,12,10,15,22,426,36
"173",77,12,9,82,63,51,9,10,20,79
"174",12,8,13,127,19,16,14,38,125,30
"175",27,37,13,23,9,15,44,25,28,44
"176",18,13,18,15,28,18,16,14,26,32
"177",119,10,23,15,133,59,155,91,10,10
"178",9,12,39,14,9,91,81,9,12,12
"179",126,12,57,24,68,124,53,11,9,18
"180",34,13,11,12,299,319,16,21,17,360
"181",284,15,256,268,15,23,49,69,31,13
"182",19,17,18,25,43,214,12,19,14,171
"183",15,41,10,28,10,39,12,8,9,41
"184",20,25,31,14,128,14,12,12,25,132
"185",21,47,50,12,13,42,29,17,67,12
"186",11,8,44,8,39,37,29,17,42,14
"187",129,199,15,24,15,33,25,15,17,28
"188",37,29,17,20,20,11,52,57,16,10
"189",147,26,NA,38,NA,11,13,55,18,12
"190",13,10,17,12,273,392,38,13,7,21
"191",24,15,27,20,10,39,16,198,29,34
"192",22,8,21,164,24,8,12,12,185,29
"193",114,26,215,16,29,154,18,10,22,NA
"194",57,43,15,9,16,12,88,24,56,9
"195",13,10,412,411,13,61,14,11,59,14
"196",15,39,12,20,38,93,14,25,96,17
"197",101,100,10,13,25,19,45,20,67,11
"198",28,23,31,10,44,9,27,55,43,46
"199",157,23,142,148,13,14,24,34,8,19
"200",15,15,12,10,81,80,15,8,45,47
"201",22,17,48,14,16,37,249,269,181,22
"202",181,179,9,8,19,28,8,12,45,162
"203",15,11,9,16,16,68,52,24,12,114
"204",12,13,309,19,264,365,15,14,210,16
"205",14,19,25,10,51,45,22,19,15,19
"206",12,10,14,11,82,81,12,54,34,13
"207",21,92,21,75,34,70,90,13,13,40
"208",36,30,22,97,23,211,222,226,35,47
"209",38,9,67,61,55,15,26,14,63,10
"210",9,33,8,8,12,36,35,8,40,9
"211",8,14,47,54,22,10,11,26,31,29
"212",23,65,30,246,27,18,247,98,255,11
"213",39,15,31,14,46,26,41,49,23,19
"214",70,12,33,11,24,72,31,53,58,17
"215",11,27,9,17,44,58,18,11,12,46
"216",18,16,10,10,24,11,11,16,35,12
"217",7,12,47,6,8,42,9,54,7,20
"218",24,18,23,382,20,409,20,8,18,14
"219",54,217,76,293,28,296,10,17,47,31
"220",30,19,130,29,32,31,29,106,14,14
"221",12,408,17,15,21,14,31,13,266,10
"222",88,11,13,17,33,136,12,31,122,15
"223",14,122,15,99,21,154,18,20,137,43
"224",33,12,25,18,18,43,239,22,257,261
"225",NA,NA,NA,NA,NA,NA,92,NA,NA,39
"226",24,87,12,NA,28,15,13,NA,8,14
"227",60,12,10,28,9,30,60,10,15,7
"228",18,13,44,10,12,NA,10,233,320,NA
"229",18,20,17,9,20,10,9,9,21,24
"230",12,11,10,11,16,25,14,12,16,26
"231",20,88,50,36,21,73,86,24,9,80
"232",15,13,12,9,14,24,58,10,55,11
"233",16,138,12,120,21,17,26,17,129,35
"234",241,12,30,209,16,12,33,319,327,17
"235",55,20,27,20,12,13,24,66,17,76
"236",11,14,257,20,11,24,21,17,9,250
