"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",11,16,10,77,13,15,15,13,26,16,16,16,19,164,11,16,14,9,12,215
"2",92,11,12,36,60,12,22,27,15,10,69,11,33,18,16,19,17,10,9,14
"3",84,159,17,10,12,14,19,14,24,16,27,11,169,15,14,17,50,11,14,139
"4",22,14,57,60,13,59,18,13,39,15,13,11,11,19,9,10,11,13,25,17
"5",11,20,27,11,14,64,42,67,20,9,73,7,9,26,69,48,14,42,13,81
"6",48,48,23,12,11,22,22,12,23,45,15,14,16,14,24,12,32,16,18,20
"7",8,13,16,NA,10,NA,23,12,490,13,23,31,NA,26,64,8,11,28,12,25
"8",16,100,10,10,11,66,24,12,96,108,14,12,14,50,12,19,16,40,11,13
"9",13,15,44,34,10,11,13,15,7,20,10,16,9,13,9,32,30,8,15,8
"10",11,16,15,10,103,17,13,20,14,57,11,13,14,125,11,109,113,15,10,128
"11",26,9,84,21,74,26,17,40,20,25,16,17,44,301,18,78,10,10,12,12
"12",171,13,15,15,21,11,152,NA,33,100,NA,13,12,12,20,17,15,11,29,20
"13",15,16,30,40,43,48,42,27,24,23,18,14,17,17,13,12,10,22,16,9
"14",16,26,20,12,38,11,23,23,17,148,11,10,102,31,29,55,14,9,146,23
"15",NA,NA,NA,68,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,247
"16",10,10,7,12,12,16,7,21,10,9,13,64,15,9,17,11,72,69,14,12
"17",352,20,24,19,11,18,22,12,8,35,18,16,17,89,12,79,9,375,73,12
"18",10,18,44,11,9,105,452,10,17,108,29,86,29,51,85,343,81,53,14,10
"19",13,49,10,10,37,12,8,37,7,11,14,8,48,13,32,19,9,13,21,12
"20",11,170,152,14,12,32,20,46,68,32,11,13,166,28,144,19,15,31,180,13
"21",11,9,13,16,22,113,23,15,148,23,19,11,188,14,21,9,202,14,10,10
"22",10,9,21,18,28,13,7,60,39,12,10,9,11,12,50,11,19,16,60,12
"23",12,17,22,26,18,7,44,8,59,11,10,9,21,9,12,50,21,10,11,9
"24",44,94,22,25,17,224,16,23,20,16,24,21,18,14,17,11,23,11,13,26
"25",168,15,24,7,174,135,13,15,12,112,13,10,9,15,14,13,9,13,10,210
"26",13,13,15,252,14,132,14,13,39,110,NA,31,13,18,10,11,NA,18,12,117
"27",12,11,NA,23,13,11,113,56,8,23,22,21,80,12,13,20,11,NA,12,10
"28",14,8,50,18,30,81,84,14,11,9,12,12,75,84,9,57,17,13,7,10
"29",10,13,161,14,34,12,11,42,NA,NA,15,16,13,20,NA,8,29,13,40,NA
"30",12,13,14,20,65,12,19,12,18,9,8,10,10,116,121,11,8,10,8,14
"31",11,379,15,32,NA,51,4,13,32,9,22,22,17,14,18,16,195,15,24,NA
"32",12,66,54,17,10,15,136,12,111,16,24,16,13,27,10,165,7,55,17,27
"33",12,13,9,38,22,10,44,120,9,100,11,9,10,61,79,12,10,12,11,13
"34",106,103,9,21,21,35,53,9,23,16,14,131,92,26,9,115,37,14,23,74
"35",16,9,9,12,17,11,10,25,51,12,15,10,12,57,13,12,10,13,62,8
"36",25,NA,15,27,28,41,19,NA,14,19,9,14,31,53,53,13,12,NA,18,60
"37",21,25,17,10,475,153,30,8,100,38,13,10,13,31,152,10,10,32,12,22
"38",314,10,18,147,188,35,17,32,12,19,142,19,13,11,10,22,9,12,8,8
"39",20,21,11,26,17,190,248,19,18,23,14,8,15,13,14,13,14,11,243,17
"40",10,46,11,13,16,60,12,9,8,60,10,11,11,14,11,67,28,14,17,9
"41",11,9,16,10,30,14,33,8,13,12,90,11,9,18,12,11,90,10,28,18
"42",14,14,15,11,9,42,12,124,18,19,14,15,11,13,8,16,23,51,123,43
"43",11,17,15,19,43,8,88,77,16,12,32,116,14,112,14,105,21,22,9,12
"44",22,79,84,13,17,7,22,12,16,94,14,14,17,10,77,88,21,31,11,20
"45",8,14,411,10,422,30,49,12,12,29,10,174,54,11,12,17,68,17,9,14
"46",11,12,10,34,27,23,56,9,12,16,60,28,9,48,14,8,13,9,14,10
"47",11,16,32,20,27,10,11,31,19,22,19,23,50,88,55,95,12,21,17,12
"48",16,19,13,23,12,34,36,13,76,93,8,11,31,13,13,8,12,14,9,12
"49",17,15,25,12,32,21,27,71,12,13,14,26,11,22,12,68,128,128,23,90
"50",23,24,13,205,17,15,12,65,17,211,47,10,18,12,10,8,19,199,67,14
"51",16,12,15,46,27,11,39,13,20,11,14,20,27,129,119,45,53,40,126,24
"52",11,10,16,11,20,39,142,232,13,NA,9,17,10,20,21,11,478,63,10,14
"53",16,15,15,10,12,17,13,59,63,46,24,39,45,16,17,16,15,15,24,10
"54",52,111,113,13,19,143,127,12,10,32,28,8,17,131,14,15,16,17,19,11
"55",19,11,30,16,24,13,21,18,12,19,13,56,38,10,113,14,42,376,21,23
"56",51,7,43,11,7,7,7,8,8,9,15,6,16,7,8,6,13,39,9,13
"57",15,21,13,63,23,14,17,8,12,41,15,20,68,17,10,35,9,11,9,16
"58",29,NA,16,11,13,12,13,37,11,14,13,97,11,42,311,43,31,12,480,24
"59",50,21,37,150,56,23,66,144,31,8,20,40,146,20,12,151,36,9,12,22
"60",8,21,16,10,10,13,9,9,63,9,103,27,9,19,124,14,124,91,120,48
"61",23,285,23,42,278,19,15,17,12,11,191,12,18,168,22,8,294,12,22,33
"62",NA,14,19,20,27,16,16,21,20,19,NA,NA,50,15,NA,24,49,11,NA,11
"63",10,64,248,16,10,32,12,33,11,14,13,19,12,29,15,14,80,56,25,11
"64",15,128,14,133,405,37,8,14,9,67,10,13,18,37,73,18,78,8,12,14
"65",24,12,21,17,31,9,28,12,33,12,11,99,92,22,14,106,17,17,37,17
"66",14,160,16,22,9,64,NA,13,16,14,47,10,106,11,11,19,24,15,16,14
"67",142,11,12,163,21,16,13,10,143,54,10,18,10,43,43,18,112,14,12,14
"68",115,12,57,19,70,11,9,25,114,27,18,8,13,107,14,20,11,12,19,13
"69",21,11,10,16,27,20,9,125,118,11,11,11,11,134,8,9,38,11,14,26
"70",31,18,15,12,32,17,62,51,62,19,10,12,31,12,27,27,18,9,12,17
"71",20,20,32,82,21,25,19,9,95,9,33,11,19,24,98,88,19,14,10,106
"72",12,24,23,10,58,25,18,15,55,10,20,49,9,14,12,19,20,15,52,35
"73",19,19,155,16,28,24,18,25,26,24,17,29,104,8,11,14,17,45,169,93
"74",12,23,15,21,337,13,21,39,23,19,322,12,61,273,13,8,9,17,24,39
"75",33,33,9,31,17,16,136,9,32,20,20,19,17,97,152,18,8,132,23,23
"76",163,153,17,159,11,10,25,12,175,21,7,10,10,15,18,10,17,12,7,8
"77",11,31,20,24,11,304,14,25,15,338,15,13,11,315,20,20,15,26,13,42
"78",14,50,177,53,48,27,21,33,12,15,17,17,64,49,15,63,50,27,12,64
"79",55,14,41,21,10,30,23,51,27,11,27,35,16,16,47,9,12,41,12,24
"80",9,90,10,81,10,41,98,45,40,13,19,17,15,11,10,18,37,10,30,26
"81",11,24,73,10,30,19,19,48,80,9,11,18,13,17,68,22,12,45,77,16
"82",9,17,241,88,10,8,12,15,28,17,17,12,15,298,9,15,18,26,13,17
