"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",21,23,17,32,14,178,15,15,11,9,10,16,15,11,11,11,21,477,12,477,8,22,17,10,11,22,89,16,11,19
"2",368,11,25,205,25,12,12,12,27,11,466,16,24,21,19,100,36,14,56,42,32,12,18,18,19,14,10,13,NA,14
"3",11,73,65,75,12,12,13,11,10,15,19,13,11,11,12,11,14,21,11,11,30,12,35,9,22,24,21,11,15,34
"4",90,31,75,15,10,17,10,9,15,13,46,9,63,8,48,24,88,18,12,11,12,9,19,9,39,14,25,10,16,14
"5",12,17,69,20,49,246,12,12,10,232,10,11,12,21,16,30,12,9,12,11,25,9,12,9,20,12,235,11,15,18
"6",18,14,10,8,13,18,17,22,14,84,25,12,81,12,31,9,23,12,11,12,18,12,10,13,9,34,25,16,66,37
"7",14,20,13,59,373,16,34,42,330,11,24,10,21,20,13,12,12,18,15,10,14,360,20,16,29,10,314,29,19,11
"8",11,24,NA,17,29,10,18,12,11,26,45,19,13,153,20,11,9,16,30,14,12,41,NA,11,13,26,14,41,NA,9
"9",11,15,NA,NA,38,NA,10,70,NA,NA,10,NA,64,12,87,NA,NA,10,NA,22,NA,NA,NA,9,84,10,21,35,19,9
"10",13,15,15,15,19,37,55,13,10,10,12,27,19,13,12,19,16,22,125,48,15,13,13,14,9,13,71,11,15,34
"11",14,NA,12,11,19,20,29,58,15,17,14,10,11,53,12,21,12,11,12,8,17,13,14,240,15,11,17,9,245,10
"12",12,10,12,63,18,12,8,NA,18,10,14,20,11,10,19,12,32,10,33,19,13,8,10,54,NA,11,54,21,NA,14
"13",50,18,17,27,32,18,53,22,9,23,20,60,14,15,17,14,22,16,13,14,21,28,10,8,10,18,17,19,22,25
"14",387,19,10,24,10,8,17,17,23,12,16,11,9,12,16,367,16,36,17,13,21,16,25,10,350,13,111,10,10,27
"15",25,11,21,17,22,99,19,22,54,14,22,89,30,92,50,13,11,12,18,16,13,36,13,15,56,24,9,14,17,16
"16",18,NA,12,15,NA,17,14,14,14,10,14,29,9,36,NA,8,13,15,8,12,11,16,20,19,19,24,11,16,23,20
"17",167,35,233,13,11,42,58,18,20,33,10,95,11,20,24,44,10,18,23,40,17,12,11,21,11,10,20,23,20,228
"18",12,30,299,25,25,24,26,19,24,457,48,484,21,372,15,477,10,12,15,24,12,12,15,24,10,30,36,14,22,11
"19",10,17,11,13,7,11,20,10,9,22,12,11,9,12,10,44,16,9,28,9,17,20,46,6,13,11,12,12,50,11
"20",23,43,20,14,15,61,11,9,59,29,65,9,9,14,11,24,30,19,32,30,21,7,8,9,40,22,14,10,15,15
"21",11,42,10,11,9,10,17,11,16,20,10,18,17,27,19,52,21,12,12,32,48,12,14,10,54,12,10,10,9,8
"22",18,33,15,11,19,57,30,17,23,10,17,20,14,16,12,170,170,32,11,143,49,17,29,12,9,23,12,21,13,116
"23",19,13,159,10,11,97,28,10,14,14,12,127,23,15,14,30,17,24,8,NA,17,13,10,19,20,24,18,NA,49,12
"24",25,11,15,47,10,13,24,17,30,51,10,9,12,24,10,48,16,8,22,9,11,31,13,9,12,36,12,18,12,51
"25",NA,16,8,11,NA,10,26,15,35,56,26,13,NA,14,14,18,14,12,23,10,18,16,18,16,11,10,12,16,23,12
"26",13,19,13,52,78,17,26,8,22,24,12,12,82,11,54,47,10,72,59,10,12,22,16,184,11,13,21,13,13,14
