"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",14,12,22,10,29,15,11,45,10,11,19,33,23,45,10,8,10,13,27,27,24,20,16,38,22,28,11,12,10,10,10,23,15,11,9,13,14,12,26,15
"2",27,186,23,17,12,12,19,78,14,25,8,32,15,14,11,20,192,18,15,13,13,11,21,17,26,19,7,11,221,40,11,14,53,9,16,13,13,24,18,15
"3",NA,12,9,21,202,11,12,13,8,20,49,34,18,52,12,207,14,23,16,9,12,14,11,11,44,11,18,12,11,15,35,10,38,477,16,13,36,16,12,10
"4",14,57,10,53,42,7,17,16,27,45,14,16,61,12,26,30,11,19,19,8,12,15,12,12,11,11,14,59,16,18,17,14,17,12,17,16,9,12,28,25
"5",71,30,29,105,16,49,47,14,26,159,44,61,32,35,34,19,7,122,18,13,17,60,19,14,15,13,40,17,23,13,23,15,14,129,30,32,23,13,24,10
"6",12,31,26,31,20,9,14,9,110,14,154,12,19,13,118,13,20,14,30,9,10,26,9,18,10,69,33,46,10,8,11,30,15,160,23,12,14,11,27,19
"7",50,11,8,14,49,38,55,14,37,22,44,17,22,16,12,11,9,22,13,33,7,22,13,8,55,10,12,51,10,14,11,12,36,8,22,16,13,52,12,11
"8",27,18,14,13,10,32,28,225,13,22,29,8,8,268,10,14,26,11,10,17,13,10,11,19,21,16,11,245,12,19,14,204,11,21,18,10,16,263,15,16
"9",15,158,14,8,35,15,14,45,33,39,19,10,23,39,32,43,13,22,11,150,16,166,10,16,27,8,9,37,15,11,17,15,30,73,12,38,8,26,14,71
"10",14,9,12,17,200,14,22,15,26,8,18,9,12,22,25,16,32,14,15,14,12,21,12,13,26,230,14,213,13,14,24,16,10,17,186,32,12,9,15,19
"11",33,10,10,20,30,31,30,11,170,19,14,24,18,14,13,47,445,9,9,13,26,51,17,31,23,14,25,40,10,12,120,450,15,17,40,12,39,442,10,13
"12",207,13,28,36,12,18,15,20,39,20,11,11,108,9,32,10,20,12,13,255,15,24,24,11,19,10,12,21,18,111,9,10,9,27,7,28,30,10,11,22
