"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",85,25,12,14,18,12,10,161,9,22,16,12,14,19,43,13,12,18,10,12,36,21,13,16,15,35,12,18,16,13,8,8,258,11,17,9,9,145,20,31,23,11,75,20,18,96,11,10,16,257
"2",12,14,24,15,11,20,24,8,20,11,78,18,14,10,13,18,8,78,15,12,10,12,10,14,9,16,15,11,7,84,10,17,12,25,10,26,86,18,24,34,12,10,9,30,13,41,9,10,14,13
"3",20,15,13,10,15,16,12,9,20,13,9,15,NA,9,24,11,16,12,48,13,15,28,79,13,22,11,11,12,10,9,13,16,25,33,11,10,24,19,NA,24,24,17,NA,25,NA,23,40,8,18,17
"4",26,77,17,13,11,16,82,23,22,23,18,20,13,27,13,11,15,56,6,42,36,21,8,40,11,11,10,22,11,26,30,16,81,9,29,8,13,13,39,42,9,12,10,33,72,8,11,24,12,13
"5",10,NA,10,13,17,NA,17,10,NA,NA,NA,17,NA,19,13,13,11,14,13,24,37,36,NA,NA,18,19,16,20,22,23,13,NA,NA,13,NA,NA,NA,24,17,15,9,14,NA,21,NA,NA,32,166,14,14
"6",20,24,11,25,8,12,12,103,40,10,25,14,17,17,8,20,11,17,24,76,13,85,18,39,10,16,11,20,10,16,9,24,14,11,17,26,62,86,10,49,8,15,17,11,15,17,11,14,13,8
"7",50,19,13,12,25,25,13,14,36,10,17,29,12,19,20,7,51,21,18,12,20,29,96,13,128,10,27,25,9,22,14,30,27,9,13,19,22,35,10,37,NA,11,12,79,22,NA,15,21,NA,28
"8",10,10,8,37,21,13,19,17,202,12,21,27,15,16,8,17,15,12,25,17,32,30,16,19,12,41,63,15,23,18,10,37,45,13,37,20,188,17,32,12,157,11,28,29,10,25,19,8,98,43
"9",13,16,12,9,30,14,78,12,12,36,12,14,12,48,9,58,36,15,16,14,16,45,20,18,14,9,19,12,95,12,16,44,8,18,15,10,9,82,41,16,52,9,39,6,12,9,7,21,44,17
"10",15,13,23,10,24,20,48,22,26,16,37,11,27,9,15,11,19,29,408,38,11,19,44,21,11,13,15,14,11,9,432,10,14,16,20,412,49,25,8,378,9,19,11,12,15,12,15,12,14,12
"11",96,20,21,18,13,11,9,11,9,95,12,16,35,14,17,13,29,22,13,22,116,10,14,81,21,32,23,18,10,11,24,28,23,21,22,9,11,7,8,8,23,18,42,9,34,9,25,9,12,25
"12",18,14,30,NA,NA,11,14,7,NA,375,14,10,17,11,NA,46,11,10,17,NA,9,14,19,11,15,8,9,17,24,12,9,12,NA,9,13,18,318,8,12,43,12,8,13,27,15,16,27,11,13,12
"13",12,14,9,12,10,NA,14,NA,14,19,16,17,NA,29,9,9,45,10,15,27,29,10,12,12,22,22,22,22,24,14,8,98,23,34,482,26,36,10,14,12,9,7,38,19,17,19,22,22,13,20
"14",19,10,16,15,9,11,28,6,9,16,191,16,8,18,12,10,10,17,10,12,21,16,14,12,33,11,26,13,334,19,17,15,15,10,18,10,14,13,17,18,14,13,11,13,8,11,18,325,17,44
"15",102,33,21,14,11,20,11,218,22,14,275,11,58,16,30,32,37,31,12,21,21,17,9,17,216,8,25,8,72,23,15,16,20,185,10,71,9,23,15,30,55,7,22,11,10,8,17,23,9,88
"16",16,31,29,15,12,14,102,18,17,14,99,19,12,17,14,22,9,8,23,8,23,27,22,15,14,22,18,12,102,11,17,10,22,15,21,13,66,17,10,17,28,21,17,25,13,9,18,9,13,10
