"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",18,20,16,9,94,15,10,11,96,12
"2",11,15,60,8,8,15,33,61,28,12
"3",24,12,12,30,382,39,424,10,12,15
"4",20,18,255,72,19,19,19,272,20,37
"5",25,23,13,34,82,9,78,14,12,13
"6",24,10,19,NA,18,20,21,15,73,22
"7",37,12,12,109,11,10,115,10,14,28
"8",25,50,10,11,9,13,31,49,30,16
"9",13,20,18,37,21,40,15,12,16,20
"10",27,16,19,49,45,11,14,25,14,15
"11",10,18,17,14,NA,26,NA,13,12,9
"12",32,13,157,21,142,17,16,17,13,12
"13",41,42,11,15,22,19,13,23,10,15
"14",8,8,17,17,8,8,7,9,8,9
"15",16,39,54,55,10,12,14,9,10,11
"16",9,62,10,10,14,110,15,14,108,9
"17",10,12,44,9,11,10,8,12,14,42
"18",30,10,14,23,13,22,336,10,107,112
"19",14,11,185,11,18,188,43,11,16,18
"20",45,13,53,10,13,10,15,13,10,10
"21",40,39,19,10,11,9,14,18,16,15
"22",9,53,13,11,11,57,19,15,16,19
"23",12,45,21,11,22,21,85,24,86,21
"24",23,14,26,42,8,19,66,16,54,19
"25",11,14,17,18,20,36,32,10,13,16
"26",30,21,21,7,10,12,58,14,64,27
"27",12,55,16,10,8,8,58,9,9,9
"28",15,120,8,9,12,9,18,14,10,132
"29",14,18,12,14,51,23,14,23,11,49
"30",12,14,29,11,10,8,28,8,10,11
"31",17,10,197,7,12,12,77,23,8,23
"32",38,22,75,11,15,25,18,57,42,11
"33",28,26,16,99,12,23,17,20,87,92
"34",21,27,9,70,221,11,12,10,216,10
"35",13,85,53,15,13,16,113,14,17,13
"36",8,7,8,10,23,21,9,6,8,8
"37",50,9,11,10,11,10,10,48,21,9
"38",34,12,11,15,9,34,14,12,11,10
"39",41,135,93,15,141,13,133,56,21,33
"40",47,9,7,21,16,56,16,20,10,106
"41",37,10,31,9,18,11,59,18,23,57
"42",8,42,12,12,8,12,42,14,18,7
"43",9,25,21,15,24,29,7,9,7,7
"44",19,43,47,16,11,16,9,13,14,13
"45",32,14,19,7,9,16,13,12,36,17
"46",9,7,10,7,12,29,6,10,32,9
"47",11,23,53,13,24,36,33,25,50,25
"48",9,10,473,11,17,63,476,9,10,473
"49",24,13,43,27,13,8,8,12,10,16
"50",24,11,16,24,10,15,8,77,54,42
"51",8,11,11,7,8,20,6,11,9,21
"52",40,12,8,8,8,13,8,42,10,24
"53",51,20,13,46,12,31,13,14,10,20
"54",32,14,16,15,30,11,16,14,16,7
"55",11,45,16,24,13,16,224,20,211,221
"56",23,22,13,68,35,22,33,71,24,20
"57",10,11,44,9,11,10,43,14,11,14
"58",16,26,8,26,56,60,69,8,18,8
"59",212,22,12,10,13,131,11,11,214,51
"60",11,17,15,24,14,175,53,12,10,12
"61",52,14,16,13,41,16,60,12,15,14
"62",22,11,29,7,27,13,9,51,50,26
"63",9,16,9,11,11,15,114,108,19,10
"64",41,19,17,36,11,18,16,13,16,13
"65",36,49,8,35,10,12,50,29,13,12
"66",11,12,10,10,89,439,168,11,11,10
"67",11,23,24,17,12,25,21,12,16,10
"68",42,22,16,13,14,22,40,21,25,21
"69",31,NA,NA,15,16,15,14,12,13,18
"70",15,11,19,8,7,68,60,41,10,14
"71",35,16,15,13,18,16,36,15,18,24
"72",15,29,11,19,13,16,43,58,354,24
"73",36,7,13,57,69,13,30,17,70,24
"74",14,11,42,19,10,11,40,8,12,12
"75",11,11,13,14,152,10,8,13,36,146
"76",14,17,20,11,13,14,17,13,11,11
"77",45,50,10,8,11,12,10,15,12,9
"78",48,10,12,45,16,22,20,20,19,13
"79",8,10,95,13,91,9,39,9,7,8
"80",51,12,22,15,20,30,12,22,23,50
"81",18,NA,15,7,10,85,14,NA,27,12
"82",24,10,12,12,11,9,14,14,21,16
"83",8,14,326,23,12,18,13,15,28,15
"84",21,14,13,47,49,11,15,11,19,12
"85",15,13,16,15,12,32,18,14,35,14
"86",109,38,6,12,138,11,11,135,10,11
"87",10,29,72,72,10,20,15,12,13,8
"88",34,17,8,12,18,8,18,10,45,40
"89",9,11,10,24,59,30,35,14,10,56
"90",17,171,174,117,20,18,73,12,14,19
"91",13,90,35,15,16,10,11,15,88,11
"92",31,12,11,10,11,11,11,29,12,11
"93",11,10,10,19,12,11,36,9,35,10
"94",10,16,12,11,46,11,42,16,27,11
"95",15,10,11,56,43,12,118,18,19,37
"96",22,11,37,9,9,8,6,51,12,12
"97",14,131,169,19,171,14,13,10,17,9
"98",9,9,11,9,11,11,10,32,9,29
"99",15,73,13,9,14,27,9,12,77,11
"100",9,17,11,63,10,13,12,19,7,60
"101",59,8,12,12,13,21,9,65,11,9
"102",16,54,21,20,12,18,13,11,14,53
"103",12,15,9,10,55,14,28,26,11,55
"104",12,55,19,27,17,14,51,135,17,20
"105",11,13,60,19,15,22,55,24,16,19
"106",40,8,8,8,14,12,9,21,41,17
"107",153,18,10,155,15,10,9,11,38,9
"108",13,11,15,349,141,15,14,349,23,12
"109",13,11,26,16,14,9,13,20,56,52
"110",112,13,12,62,10,28,10,116,14,10
"111",13,7,32,13,7,9,10,8,11,45
"112",9,11,14,67,10,9,59,9,15,15
"113",50,10,24,13,79,12,83,29,10,10
"114",19,17,10,99,13,14,107,49,14,17
"115",79,16,11,11,8,77,10,59,20,12
"116",8,9,26,6,9,8,13,12,27,11
"117",8,10,10,21,9,10,21,12,14,10
"118",10,216,15,11,14,21,220,105,21,15
"119",16,16,11,11,57,13,31,17,12,57
"120",16,18,11,16,50,15,48,9,12,23
"121",9,9,38,10,12,40,12,11,11,11
"122",21,8,9,9,8,10,10,21,10,10
"123",12,9,9,34,15,8,12,12,9,55
"124",9,10,20,9,7,189,122,11,189,18
"125",21,9,24,9,41,8,42,13,7,10
"126",11,13,21,10,22,8,8,9,7,10
"127",19,15,9,11,7,46,18,11,20,49
"128",16,10,14,14,95,24,13,92,31,15
"129",11,18,16,22,12,278,13,34,90,9
"130",12,26,17,12,12,8,9,11,9,20
"131",57,14,12,28,55,35,15,9,20,14
"132",14,26,13,9,18,12,11,14,10,14
"133",244,12,15,10,302,8,12,14,15,9
"134",10,7,9,8,8,43,8,44,7,7
"135",144,17,9,245,246,8,8,8,9,15
"136",78,56,53,11,15,73,13,12,9,18
"137",28,12,14,14,8,11,10,12,31,13
"138",14,57,16,37,10,17,25,14,126,130
"139",14,76,11,9,15,6,65,12,8,10
"140",8,8,8,7,8,7,8,10,31,23
"141",35,46,14,12,10,12,26,79,80,12
"142",11,57,13,48,12,12,14,11,17,10
"143",99,40,32,16,11,45,98,39,26,11
"144",26,10,10,13,8,10,9,9,23,12
"145",17,16,14,21,16,8,22,41,21,35
"146",15,152,18,13,20,14,11,147,90,14
"147",9,12,9,7,29,31,13,10,9,10
"148",8,81,14,27,48,20,34,73,46,18
"149",15,12,13,11,21,37,12,16,34,13
"150",15,11,12,8,13,26,14,10,17,14
"151",20,30,20,17,17,32,15,14,11,18
"152",13,23,251,14,34,11,16,271,12,14
"153",10,12,77,81,31,22,9,14,8,56
"154",17,16,35,12,37,13,16,12,12,20
"155",28,12,10,9,7,11,29,8,7,9
"156",107,15,9,96,10,32,60,13,25,21
"157",32,8,8,8,9,30,10,9,11,9
"158",9,13,11,10,8,38,10,40,9,17
"159",13,13,15,23,29,75,20,230,13,13
"160",46,42,10,8,13,8,11,12,13,34
"161",11,221,15,71,11,101,14,12,8,10
"162",30,11,11,16,8,9,10,31,10,11
"163",10,51,49,16,9,6,6,10,16,10
"164",17,13,154,8,20,54,65,20,161,13
"165",20,38,16,134,22,136,13,17,15,33
"166",12,27,11,12,11,11,9,14,48,8
"167",33,21,28,30,11,15,13,18,43,36
"168",11,10,8,11,26,9,33,10,12,14
"169",19,22,24,18,60,127,328,12,37,12
"170",10,35,11,133,149,20,95,12,12,13
"171",10,26,18,20,11,11,45,43,16,20
"172",18,11,13,10,10,9,11,16,49,48
"173",19,11,9,16,15,24,8,8,12,21
"174",12,8,12,119,20,13,13,34,117,27
"175",22,25,11,23,8,12,45,19,23,47
"176",16,13,15,14,26,16,14,14,17,28
"177",51,8,14,10,77,21,17,73,8,8
"178",8,11,67,12,9,65,19,8,10,10
"179",43,11,33,22,33,77,94,10,9,15
"180",15,12,11,12,25,27,14,16,12,18
"181",65,11,41,12,12,12,40,34,70,11
"182",16,16,15,21,55,174,10,15,12,131
"183",10,19,8,14,8,16,9,7,8,23
"184",18,21,24,14,166,14,12,13,25,170
"185",15,42,94,10,10,98,23,12,51,10
"186",8,7,20,7,19,10,10,9,11,9
"187",134,239,13,21,15,26,22,15,16,20
"188",26,31,14,21,20,9,33,27,11,9
"189",20,15,15,15,58,9,10,46,15,10
"190",9,8,10,9,277,394,11,9,7,10
"191",9,12,18,12,9,37,12,333,10,27
"192",33,7,83,NA,18,8,10,11,NA,18
"193",29,26,422,11,18,95,418,9,15,415
"194",188,156,7,8,14,8,188,12,20,7
"195",11,9,NA,16,11,66,13,10,44,12
"196",12,35,12,20,28,115,13,23,119,16
"197",36,21,9,11,18,12,19,13,34,8
"198",16,12,9,9,34,8,51,48,16,13
"199",195,23,187,140,12,9,23,26,7,23
"200",8,9,9,7,11,30,8,7,45,9
"201",15,13,63,12,13,18,62,23,18,16
"202",183,184,8,7,14,16,8,11,21,142
"203",14,10,8,16,14,58,58,19,11,32
"204",10,10,17,13,36,16,11,11,26,11
"205",10,13,14,10,56,50,14,14,13,16
"206",11,10,15,10,116,114,12,63,46,11
"207",18,99,18,60,27,45,92,12,12,21
"208",21,20,17,45,18,100,55,97,21,32
"209",14,8,16,33,15,10,13,10,38,8
"210",7,8,6,7,7,18,8,7,21,6
"211",8,13,37,32,17,10,11,42,17,17
"212",13,15,13,62,14,13,57,24,20,9
"213",33,13,18,13,58,18,25,58,16,15
"214",50,10,18,10,14,56,20,17,20,13
"215",9,20,8,13,156,158,12,9,10,18
"216",15,13,9,9,18,10,11,14,30,10
"217",6,7,17,5,7,14,7,8,6,7
"218",16,13,12,39,15,42,14,7,14,11
"219",148,302,21,250,12,303,8,12,122,20
"220",15,18,20,20,17,28,32,353,12,14
"221",9,408,11,10,13,9,13,9,265,8
"222",31,9,10,12,15,16,10,14,32,10
"223",13,29,13,57,14,64,14,14,47,16
"224",14,9,14,14,14,72,83,16,10,15
"225",21,10,24,19,41,12,41,12,21,21
"226",23,NA,10,131,21,13,12,243,8,11
"227",35,10,8,12,8,70,69,9,14,6
"228",18,9,29,9,11,45,9,33,88,87
"229",12,24,11,9,11,9,9,9,12,20
"230",9,8,8,8,11,22,9,9,9,23
"231",14,17,95,17,13,65,46,16,7,93
"232",13,11,11,8,12,17,57,9,54,10
"233",12,49,10,51,14,11,13,11,20,17
"234",90,10,15,108,11,10,18,353,361,12
"235",62,15,28,14,10,11,14,22,12,61
"236",7,8,189,14,8,69,12,11,7,106
"237",19,11,11,11,13,13,40,7,19,43
"238",9,11,17,33,8,101,124,10,13,11
"239",11,8,9,15,31,31,8,10,10,8
