"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",10,26,10,24,13,14,13,12,16,14,21,33,36,50,9,21,18,11,13,45
"2",172,9,10,12,29,8,11,20,10,9,139,9,24,15,10,15,12,9,8,11
"3",62,13,13,10,11,12,14,11,14,15,27,11,90,12,11,13,32,10,13,102
"4",17,11,32,23,13,20,14,13,14,14,11,10,11,18,8,9,11,12,15,13
"5",10,13,14,11,14,NA,18,20,16,9,NA,8,9,17,NA,21,13,16,12,27
"6",41,35,15,10,10,17,17,10,17,23,13,12,12,12,15,11,20,13,15,16
"7",7,11,13,48,10,15,14,11,46,11,13,17,17,13,14,8,10,14,9,13
"8",11,30,10,10,11,22,14,11,15,30,13,11,12,15,11,17,11,16,11,11
"9",12,12,13,23,11,12,13,12,8,14,12,13,9,11,10,14,22,8,12,8
"10",10,12,12,9,19,13,10,15,10,19,10,11,12,22,11,43,30,12,10,31
"11",14,8,70,12,28,13,12,15,13,13,11,11,16,45,12,74,9,8,10,10
"12",461,12,15,13,14,9,22,430,15,15,68,10,11,11,14,14,14,11,17,15
"13",14,13,23,21,25,40,40,21,18,18,16,14,14,14,12,12,10,19,15,9
"14",14,15,15,10,19,9,15,17,13,19,9,9,21,16,18,39,11,9,40,16
"15",11,18,19,19,97,9,9,14,14,20,33,10,19,10,9,47,17,10,9,98
"16",10,9,7,12,11,13,7,12,10,8,11,28,12,8,12,10,32,20,12,12
"17",26,18,22,19,13,15,19,13,9,23,16,12,17,34,15,28,10,22,20,15
"18",8,15,19,10,8,81,31,9,14,55,15,17,15,31,19,21,82,46,11,10
"19",13,40,11,11,47,11,8,27,7,11,14,9,28,14,33,18,9,11,20,13
"20",10,22,18,12,13,NA,16,NA,22,18,9,10,19,14,21,NA,14,29,20,12
"21",9,9,12,14,14,45,13,13,47,16,11,9,13,12,14,9,18,11,9,10
"22",9,8,11,10,11,11,7,34,12,9,9,9,9,10,15,9,10,11,31,10
"23",10,15,14,16,14,7,24,8,20,11,10,9,15,9,11,25,14,10,11,10
"24",22,90,17,22,15,324,13,21,18,15,19,19,18,13,16,9,20,11,12,23
"25",33,13,14,7,17,17,11,15,13,33,13,10,9,13,12,13,10,11,11,20
"26",10,12,11,111,13,24,12,10,20,21,66,19,11,15,9,10,38,16,11,NA
"27",9,9,14,12,11,9,13,92,8,12,12,13,13,10,9,12,9,72,10,9
"28",12,7,12,12,13,14,13,12,9,9,10,10,30,26,8,13,10,11,7,8
"29",8,9,18,11,50,11,8,15,70,68,11,13,12,11,14,8,16,11,15,11
"30",12,12,12,12,37,10,11,11,13,9,8,9,9,46,13,9,7,10,7,10
"31",9,88,12,26,273,58,7,11,18,9,19,21,14,12,13,13,269,13,16,34
"32",9,20,21,14,9,13,NA,10,17,12,17,10,9,17,9,NA,7,12,11,15
"33",11,11,8,23,13,10,13,73,8,52,9,8,9,28,68,10,10,10,11,8
"34",18,20,9,12,13,15,14,8,13,11,11,16,41,13,9,57,15,11,14,18
"35",14,9,9,10,13,11,11,16,28,12,13,8,11,16,12,12,9,11,29,9
"36",13,15,11,13,13,13,11,16,10,13,8,9,15,15,28,11,9,28,12,15
"37",10,11,9,9,12,10,33,7,14,13,8,9,9,12,14,8,8,30,9,12
"38",22,8,14,52,31,13,12,49,10,17,37,15,11,9,9,17,9,11,7,8
"39",17,17,11,19,14,51,23,15,14,18,13,8,14,12,13,13,14,11,53,15
"40",8,10,9,9,10,11,8,7,7,22,8,8,8,9,9,22,10,9,10,7
"41",11,9,15,10,18,12,26,8,12,11,96,10,9,17,11,11,96,10,21,16
"42",12,11,12,9,8,16,11,21,13,17,12,12,10,13,7,13,16,14,19,27
"43",11,16,12,16,12,9,75,19,12,12,22,95,12,28,13,91,12,17,8,12
"44",17,NA,NA,12,16,7,20,10,14,29,14,14,16,9,NA,25,19,21,10,18
"45",8,11,15,9,209,20,210,9,9,17,9,22,111,9,10,10,14,12,9,10
"46",10,11,10,22,13,13,28,9,12,13,15,13,9,16,11,9,12,10,12,10
"47",9,13,15,11,19,10,11,16,15,16,15,12,49,48,33,16,10,16,17,11
"48",10,10,9,13,10,12,35,10,28,13,8,8,13,10,10,8,9,10,8,9
"49",12,11,13,8,17,13,14,100,10,10,10,43,9,14,10,43,101,26,13,79
"50",22,20,12,27,14,15,10,19,15,17,19,10,17,11,10,8,17,77,78,13
"51",10,9,11,15,15,10,14,11,13,9,11,13,14,101,98,75,13,12,14,11
"52",9,9,13,9,14,74,74,55,10,110,8,12,9,12,11,8,26,110,8,9
"53",11,12,12,9,10,13,10,15,130,18,15,104,129,11,11,11,11,13,13,9
"54",37,97,96,11,13,20,43,11,10,30,17,8,15,79,12,12,14,13,16,10
"55",15,9,16,12,16,10,12,11,11,13,10,70,14,9,179,10,17,177,14,10
"56",9,7,14,8,7,7,7,7,7,7,8,6,9,7,7,6,9,19,7,8
"57",14,17,10,73,20,13,15,8,11,30,12,16,78,16,9,26,9,10,8,13
"58",19,77,16,12,11,11,12,96,11,13,13,45,11,21,21,NA,30,13,NA,23
"59",26,16,16,123,21,18,23,26,20,8,17,24,82,15,11,122,27,9,11,16
"60",8,15,13,9,9,12,9,9,18,9,17,18,8,16,32,13,18,18,31,16
"61",16,209,21,31,59,16,16,16,12,10,205,11,16,39,18,8,40,12,17,25
"62",NA,11,15,17,18,19,15,16,17,16,426,20,20,11,63,17,20,10,18,10
"63",8,211,210,10,9,25,10,18,8,9,10,13,10,23,11,10,39,34,101,9
"64",13,62,12,20,92,22,7,12,8,21,9,11,14,18,434,16,17,7,12,13
