"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",12,18,16,16,11,90,13,13,11,9,9,14,12,10,9,10,19,89,11,31,8,21,15,9,9,45,61,11,10,17
"2",20,9,19,19,20,11,11,11,23,9,22,16,17,16,16,25,23,13,21,39,38,12,15,12,18,13,9,13,21,14
"3",11,NA,70,422,11,11,13,10,10,16,17,14,11,10,12,10,12,23,10,10,33,12,33,9,13,479,26,11,11,14
"4",28,13,30,11,9,12,9,9,11,10,13,9,14,8,12,13,14,13,10,8,9,9,12,8,13,12,14,9,11,11
"5",11,14,18,16,33,11,11,11,9,17,9,10,9,14,13,17,12,8,11,10,16,10,11,8,15,11,28,10,13,14
"6",15,10,10,8,13,17,13,15,12,51,19,9,18,11,16,9,18,10,10,11,13,11,9,10,9,16,22,12,20,53
"7",12,17,12,27,43,14,21,24,45,9,21,10,21,21,12,10,12,17,12,10,12,28,17,15,23,9,26,21,13,10
"8",11,26,26,17,29,11,20,11,10,25,25,16,12,17,24,11,10,18,26,14,12,20,27,10,13,21,9,80,71,9
"9",10,14,11,15,18,14,9,18,14,16,9,13,15,10,44,9,15,11,40,17,13,17,15,8,25,10,14,16,13,9
"10",11,13,12,13,16,23,52,11,9,10,12,21,17,12,12,18,15,18,19,25,13,12,12,12,9,12,27,10,15,22
"11",11,19,11,10,17,16,17,30,14,15,14,10,10,35,10,14,11,10,12,8,14,13,13,17,13,9,15,10,18,10
"12",11,9,13,22,15,11,7,19,14,8,12,17,10,9,27,11,24,10,32,18,11,8,10,33,281,11,69,21,284,15
"13",19,17,14,20,19,18,16,18,7,17,19,31,12,15,17,13,35,14,11,14,17,15,8,7,10,12,14,16,19,17
"14",66,19,10,15,9,8,17,11,52,11,11,10,9,13,16,65,16,19,14,10,23,16,21,10,20,13,24,9,11,19
"15",35,9,24,10,13,16,13,12,31,10,14,46,17,45,14,11,9,10,12,12,11,21,10,13,19,13,8,11,12,12
"16",13,44,10,12,32,15,12,13,13,9,13,15,8,14,17,8,11,14,7,11,10,12,15,14,15,17,10,13,15,15
"17",21,14,12,9,10,37,13,11,13,18,9,17,9,14,14,24,9,12,16,15,11,9,9,15,11,9,13,12,12,16
"18",11,14,29,35,13,23,33,15,17,29,30,238,15,230,17,47,10,11,11,27,9,11,12,17,10,38,41,13,21,10
"19",11,15,14,13,7,12,17,11,7,16,15,14,10,14,10,24,15,11,18,10,17,17,26,7,13,12,14,14,17,14
"20",19,19,20,12,15,33,10,8,20,20,36,9,9,14,10,20,22,20,21,21,17,7,7,9,22,20,13,9,19,17
"21",9,19,9,11,9,9,12,10,12,14,10,14,13,20,18,37,17,12,11,19,17,11,11,9,37,11,10,9,8,8
"22",15,13,13,9,12,23,25,14,15,9,15,18,11,13,12,192,218,23,10,148,19,14,15,11,8,13,10,16,12,27
"23",16,12,43,9,9,91,19,10,11,12,10,82,18,11,12,16,13,16,8,38,14,12,9,16,15,20,15,18,32,11
"24",13,9,12,39,9,11,NA,10,54,16,8,8,10,13,9,15,NA,8,13,8,10,14,10,8,10,17,8,12,9,16
"25",43,14,8,10,47,10,17,13,19,21,18,11,31,13,11,16,12,12,17,9,13,13,17,13,11,9,12,13,16,12
"26",11,19,11,31,33,14,36,7,399,18,11,11,381,11,38,26,9,28,35,9,12,20,15,399,9,11,14,11,11,12
"27",14,14,13,13,14,65,13,47,14,9,17,13,53,7,15,13,8,16,14,15,15,15,13,68,13,14,13,14,12,16
"28",11,33,9,15,21,36,25,16,13,16,9,12,10,12,13,19,14,14,7,17,9,16,18,12,14,7,18,21,8,12
"29",12,17,16,14,7,29,17,9,17,12,8,17,14,13,13,10,10,10,13,29,13,16,10,9,13,10,12,18,13,13
"30",17,10,10,20,7,11,36,18,13,24,10,19,21,37,29,12,37,7,16,9,11,19,10,85,15,10,10,20,86,28
"31",11,20,19,10,85,7,11,109,24,112,15,22,17,17,22,12,20,25,16,8,9,9,8,23,65,20,10,12,12,12
"32",24,11,12,12,15,11,11,10,8,23,10,12,9,18,14,12,10,17,11,21,10,10,13,8,11,23,157,149,10,10
"33",13,9,26,14,24,11,12,12,67,16,12,12,8,29,44,24,26,60,13,12,24,11,12,9,22,37,20,11,27,21
"34",18,9,23,43,10,14,11,9,14,13,42,12,8,10,23,11,9,19,13,20,10,13,7,14,21,13,17,16,17,19
"35",14,15,16,8,47,10,25,19,7,28,8,11,11,16,8,13,19,9,9,14,16,14,10,13,37,8,46,26,14,18
"36",12,10,42,21,17,15,20,16,17,11,20,12,17,18,41,16,16,15,13,11,10,20,18,16,14,13,24,9,16,15
"37",13,14,15,8,15,9,9,9,7,10,8,8,9,15,8,100,8,17,9,13,10,12,8,15,11,116,10,12,7,16
"38",10,15,37,53,14,10,16,91,109,20,11,14,9,11,16,9,9,17,14,19,9,8,65,19,20,7,17,15,110,18
"39",9,8,51,12,10,9,22,34,12,28,12,15,52,68,22,11,33,67,26,31,9,25,9,16,13,10,33,12,20,18
"40",12,17,15,19,24,12,7,11,23,59,17,16,13,20,11,12,12,134,34,126,29,20,11,22,17,21,12,19,12,19
"41",85,18,9,11,17,12,11,9,13,10,11,18,31,34,13,83,12,15,20,12,11,11,21,16,11,16,15,12,30,10
"42",17,6,14,22,20,15,12,14,20,18,17,21,9,21,22,22,12,21,18,8,18,15,17,21,12,16,20,8,34,33
"43",16,13,14,10,11,9,9,10,9,11,11,14,8,10,11,41,12,11,11,10,9,10,8,9,10,11,14,32,9,8
"44",15,16,12,26,10,9,11,6,9,8,13,16,13,15,7,16,8,7,23,13,8,9,13,8,17,8,14,9,7,10
"45",14,13,21,8,20,11,20,11,12,9,11,11,20,9,14,9,15,14,10,13,10,35,20,13,35,20,19,20,18,12
"46",13,15,19,35,12,8,16,20,18,10,12,17,14,18,19,33,16,17,12,17,14,17,16,10,13,11,14,13,18,14
"47",7,8,12,15,17,16,10,11,16,12,8,12,10,10,13,9,51,18,10,12,14,17,52,9,20,11,10,8,17,12
"48",9,29,9,14,39,34,17,8,20,11,9,18,14,7,11,13,11,61,21,27,67,8,16,19,29,23,41,28,64,9
"49",7,10,8,8,9,12,15,10,14,9,39,10,15,12,8,8,26,12,10,13,8,8,12,10,10,39,9,9,20,24
"50",12,12,9,10,8,9,14,26,9,9,9,9,8,10,11,9,12,10,12,9,25,9,11,13,9,14,10,9,10,14
"51",11,11,16,9,20,9,12,17,20,9,17,8,15,18,38,15,21,10,11,11,10,24,17,19,16,20,13,9,34,18
"52",7,12,13,8,30,69,13,12,11,72,8,12,9,14,33,9,14,16,10,10,12,11,15,14,15,20,43,19,36,13
"53",16,19,35,12,12,20,20,9,10,37,10,11,12,20,11,9,13,9,20,21,20,15,16,12,12,8,11,17,8,9
"54",84,13,22,18,10,17,11,19,12,21,11,10,12,12,11,17,13,9,11,8,18,21,24,14,10,13,16,79,11,18
"55",13,7,14,14,24,15,10,9,9,9,12,8,11,8,14,14,11,14,16,12,9,12,26,15,10,7,14,12,13,10
"56",9,13,19,9,23,9,11,15,16,20,16,14,139,14,12,13,16,12,10,14,10,12,15,19,12,10,19,130,17,20
"57",9,13,10,14,15,12,9,10,8,15,8,9,10,12,8,13,10,12,56,14,58,9,10,11,33,19,9,10,18,9
"58",26,58,16,19,12,15,11,14,9,19,12,17,16,9,10,19,10,20,16,9,11,11,8,17,76,38,16,18,22,8
"59",16,18,13,19,11,37,14,9,13,11,10,17,8,8,17,9,17,15,8,9,17,10,17,11,35,9,20,9,12,19
"60",72,9,21,10,13,10,13,9,13,46,12,73,10,16,9,10,12,30,18,15,12,12,15,8,8,12,11,16,18,14
"61",10,38,21,16,8,11,8,43,11,18,21,8,31,11,13,13,28,11,13,10,NA,68,12,10,29,NA,23,8,15,16
"62",12,7,9,21,91,10,16,23,13,30,21,10,15,11,90,13,25,16,15,43,17,17,16,12,10,12,13,14,20,29
"63",19,22,11,22,20,11,15,12,16,10,19,51,53,10,18,11,18,20,21,15,17,21,16,14,25,23,15,21,23,17
"64",11,9,8,22,8,10,8,29,10,24,15,11,12,49,8,13,13,31,27,13,8,9,12,13,25,8,10,54,13,9
"65",10,14,10,NA,11,21,20,11,15,16,11,12,18,9,16,10,19,12,12,8,12,14,14,NA,10,11,13,19,NA,12
"66",14,16,11,14,8,14,12,13,18,16,11,23,29,17,18,10,9,14,29,8,12,9,16,15,14,18,12,14,15,18
"67",10,13,46,9,13,25,19,14,19,13,9,24,26,36,20,12,23,19,12,15,35,51,24,20,27,11,21,34,19,25
"68",9,11,10,12,28,14,10,9,14,20,12,8,11,15,14,15,12,14,12,12,11,11,15,10,12,14,12,9,14,15
"69",9,14,14,13,23,8,21,14,15,42,15,30,18,20,13,10,11,18,13,11,16,23,12,16,40,8,10,12,18,13
"70",11,10,14,9,9,10,37,15,15,19,13,23,16,13,11,41,17,10,10,11,13,18,14,10,18,17,9,15,17,10
"71",28,12,14,10,NA,16,63,14,7,63,12,8,12,8,NA,9,20,8,18,15,11,19,11,10,14,8,9,23,10,NA
"72",37,15,18,11,13,22,17,28,50,23,55,18,28,21,10,17,16,23,10,11,20,41,9,13,13,9,14,22,16,22
"73",14,12,22,17,19,12,17,40,40,12,10,18,20,22,16,14,10,10,22,13,15,10,10,9,9,18,19,23,15,20
"74",26,14,7,24,26,91,97,11,43,10,23,19,23,21,10,27,12,8,20,43,12,43,20,26,11,21,14,11,10,21
"75",12,9,18,11,13,18,22,13,14,20,10,10,11,25,25,18,13,23,37,21,29,22,13,19,11,10,27,12,17,17
"76",16,14,9,17,12,14,9,15,14,11,14,10,16,9,36,10,33,15,12,11,14,12,9,14,11,14,18,14,18,10
"77",31,12,16,24,10,23,27,11,33,25,17,14,16,46,11,14,10,14,18,15,11,18,50,11,14,28,14,11,19,35
"78",19,15,23,16,17,16,19,10,18,28,19,14,17,20,12,10,18,17,11,17,8,11,9,12,14,13,16,12,15,10
"79",15,16,12,13,9,19,69,13,14,14,10,8,17,8,8,10,70,13,15,9,11,17,15,17,16,51,8,18,12,14
"80",24,8,56,16,54,11,11,12,13,14,8,26,12,12,10,10,8,18,22,24,9,12,6,8,9,8,8,13,10,11
"81",17,8,17,11,9,19,20,9,11,63,11,15,14,65,112,10,109,11,11,14,17,12,12,12,12,28,19,11,10,19
"82",11,11,7,8,15,15,11,14,12,35,11,9,13,13,12,11,13,12,15,13,10,15,8,33,9,11,13,20,16,17
"83",13,8,12,12,11,9,12,8,13,16,15,14,12,14,31,10,9,12,10,13,11,14,12,9,11,13,16,33,10,10
"84",13,10,13,12,9,14,9,13,9,9,14,13,10,13,15,12,10,9,13,13,8,10,9,10,11,14,25,6,27,11
"85",18,15,18,9,10,40,9,9,9,17,8,13,8,13,20,19,17,16,10,9,13,10,14,10,10,13,12,39,8,15
"86",11,12,13,9,10,8,11,12,10,9,14,12,14,9,13,11,9,11,7,24,11,12,12,10,12,10,15,9,12,22
"87",9,12,16,22,11,21,13,13,11,9,12,18,20,16,16,18,16,10,16,15,11,15,30,10,10,19,16,12,18,32
"88",18,24,21,14,40,13,20,15,9,13,14,19,14,12,16,53,11,15,23,11,13,14,12,15,16,19,10,19,45,17
"89",13,14,15,14,9,13,28,19,12,12,16,10,12,11,32,12,10,26,14,10,15,11,9,14,15,9,12,8,33,12
"90",16,9,15,10,9,9,12,18,11,11,70,19,52,13,16,10,15,33,10,13,17,68,13,16,13,11,10,11,14,16
"91",11,9,19,9,11,334,14,15,9,11,10,15,12,48,336,9,14,11,13,15,14,8,9,9,10,15,22,14,11,13
"92",23,28,17,13,13,13,25,19,13,24,13,11,18,10,61,17,27,10,14,21,25,12,11,27,121,17,114,69,24,10
"93",15,16,14,17,7,19,15,16,96,15,13,13,108,19,11,9,17,10,12,19,17,8,15,14,12,18,19,18,14,12
"94",13,12,12,14,8,27,10,14,16,10,24,11,10,11,12,15,16,9,10,19,17,15,18,12,12,17,10,12,14,11
"95",18,17,11,25,11,13,22,11,11,13,17,13,20,19,64,23,15,9,18,64,11,22,7,13,10,27,14,15,20,22
"96",35,16,19,14,9,11,17,10,13,11,17,18,13,19,12,18,7,15,15,20,11,11,14,35,11,9,12,11,9,10
"97",11,13,14,24,15,12,10,10,10,10,9,15,10,12,11,9,14,12,11,11,7,13,15,10,12,13,13,25,13,14
