"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",12,11,13,9,16,13,10,16,10,11,15,17,15,37,9,8,9,13,16,17,17,16,12,40,16,18,10,11,11,10,9,16,14,11,9,12,12,12,16,13
"2",22,48,14,15,12,10,17,29,13,18,8,19,14,14,9,17,20,15,14,11,10,9,18,15,19,18,8,12,19,21,10,11,56,8,15,11,12,17,18,14
"3",15,10,9,14,18,11,11,15,12,15,18,40,16,15,11,15,13,16,14,9,11,11,9,10,21,9,14,10,10,11,35,9,18,19,14,12,16,14,10,9
"4",11,63,10,20,49,7,15,13,17,61,11,13,19,23,20,18,10,14,14,8,10,14,11,11,10,10,12,41,13,15,16,11,14,11,15,14,9,10,22,18
"5",26,17,18,31,12,21,24,12,15,50,34,35,20,18,25,14,7,36,16,10,13,52,13,14,12,11,20,14,15,12,16,12,13,28,18,24,16,12,15,11
"6",11,17,21,16,15,9,10,9,15,12,14,9,17,11,61,13,14,15,15,8,10,14,8,15,9,38,19,47,9,8,10,21,12,63,18,10,13,9,14,19
"7",20,10,7,12,135,19,42,12,43,16,17,14,13,13,10,10,9,15,11,15,7,16,12,8,20,9,12,105,10,12,10,10,20,8,15,13,11,126,10,10
"8",14,14,12,13,9,32,29,43,13,33,14,8,7,14,9,12,14,11,9,13,11,12,11,11,20,11,9,33,10,21,13,16,9,15,15,10,13,45,10,11
"9",13,56,12,8,19,13,12,20,16,20,14,9,18,20,39,22,12,16,10,54,13,18,10,12,18,8,7,26,10,10,13,12,19,19,11,19,8,16,12,21
"10",14,9,10,16,17,12,18,13,17,8,13,9,12,18,16,14,19,14,15,12,12,16,12,12,17,21,12,61,12,13,19,16,10,16,61,16,11,9,13,11
"11",17,10,9,14,18,17,17,9,108,16,10,17,14,11,11,18,20,8,8,13,18,20,12,18,16,16,17,20,10,20,41,21,13,15,19,10,107,77,9,12
"12",32,12,19,19,10,13,14,19,16,11,10,12,28,9,19,10,17,12,12,18,13,19,24,11,17,9,10,15,13,30,9,8,8,18,7,20,23,13,11,18
"13",9,9,9,36,11,11,15,19,13,14,21,14,18,8,11,12,12,15,10,9,29,11,15,14,8,10,17,10,23,7,18,9,12,15,13,11,10,14,14,10
"14",9,19,12,9,19,19,9,80,11,13,11,12,18,12,17,54,13,13,14,9,20,23,21,22,16,9,12,21,18,11,81,8,17,12,15,13,17,27,15,10
"15",8,19,57,12,8,9,12,9,9,11,19,34,50,8,9,8,60,15,9,10,10,22,10,15,10,10,12,24,34,9,15,16,8,11,17,15,18,11,11,9
"16",44,11,29,64,44,35,24,13,11,14,23,18,11,17,63,22,21,8,20,23,12,20,30,16,18,11,20,12,10,27,10,13,8,16,8,23,10,12,23,14
"17",16,20,15,53,9,19,16,26,15,13,20,14,9,15,12,19,21,8,16,17,7,12,9,19,17,9,57,8,11,10,9,12,6,16,11,19,11,24,15,17
"18",15,9,15,14,15,10,17,27,10,13,12,12,11,7,15,13,10,8,14,10,13,9,14,12,10,13,11,12,23,12,15,9,13,14,11,9,8,11,12,14
"19",32,12,18,18,23,18,12,19,22,9,16,7,18,12,40,21,11,41,16,19,24,13,15,27,8,15,8,9,21,17,36,11,21,24,6,20,10,17,15,14
"20",21,21,20,14,11,27,13,13,12,11,16,9,49,11,7,11,7,140,15,14,10,21,9,21,141,19,13,15,8,23,19,8,20,97,22,13,85,7,7,9
"21",33,13,48,25,10,16,12,22,8,12,49,20,13,26,20,11,23,11,26,40,20,21,21,13,13,10,12,19,26,24,8,18,30,25,13,10,18,11,12,17
"22",17,10,28,13,11,22,8,33,77,20,9,19,23,17,15,13,13,10,11,13,10,66,14,29,11,19,16,14,12,11,30,10,22,24,26,13,12,15,17,31
"23",15,12,12,14,18,20,22,20,26,8,41,20,15,27,13,11,15,20,9,15,21,12,26,8,14,25,20,13,25,11,15,10,18,10,10,27,122,11,120,4
"24",18,10,12,22,8,8,19,48,9,12,9,24,26,16,32,13,19,9,8,13,9,14,14,24,19,21,21,20,8,8,9,16,13,21,9,19,13,47,11,13
"25",52,19,13,10,14,12,12,15,8,19,9,9,9,14,8,52,8,13,12,8,9,14,11,10,12,9,9,17,9,12,16,10,14,9,13,8,11,11,11,15
"26",25,16,72,14,17,11,11,12,31,38,18,11,11,15,17,19,11,19,16,14,25,14,10,18,15,20,19,19,15,18,12,27,20,16,13,12,72,10,12,10
"27",12,12,12,10,11,14,10,11,13,17,12,14,11,30,13,16,15,10,19,10,16,17,10,9,12,17,11,10,14,13,14,14,13,11,9,13,12,11,13,14
"28",11,20,12,23,12,10,20,16,17,18,11,17,21,24,13,10,11,16,17,43,17,13,15,22,23,18,9,13,15,7,24,37,25,16,10,21,13,16,10,20
"29",13,10,10,14,12,12,20,34,10,11,10,9,9,12,10,16,10,22,29,28,10,12,12,11,28,11,9,10,12,15,16,22,17,13,8,12,9,32,9,25
"30",11,13,9,12,17,26,45,15,16,16,44,14,21,22,20,45,14,77,10,9,9,17,8,76,18,17,9,14,26,12,21,18,24,16,47,24,18,13,14,9
"31",11,15,82,50,7,18,NA,17,8,12,15,16,17,12,18,17,14,15,17,10,12,9,16,43,7,11,20,13,9,18,19,12,11,12,7,15,19,20,16,8
"32",281,34,13,61,15,19,12,15,19,25,292,14,13,11,11,9,30,15,11,10,15,20,15,13,11,14,12,12,15,15,28,13,14,11,14,17,11,12,10,293
"33",12,14,13,12,9,12,12,8,12,9,16,13,14,9,12,12,9,35,13,10,10,13,8,11,9,13,8,10,13,10,14,10,17,9,12,8,9,14,13,44
"34",7,22,9,19,12,23,21,13,12,11,28,8,10,11,23,9,9,24,11,13,11,12,26,42,17,43,16,26,12,9,14,15,17,13,20,14,10,21,7,12
"35",16,73,10,10,15,13,9,10,8,86,15,10,9,11,13,70,11,10,12,87,13,10,11,11,13,12,12,11,14,10,19,14,14,14,9,10,9,15,10,11
"36",253,14,19,25,16,18,14,11,122,7,11,16,10,18,34,10,37,13,21,8,15,15,252,14,13,13,12,41,11,18,12,15,14,12,13,109,14,16,9,38
"37",30,9,14,10,16,6,11,10,15,15,15,13,11,10,15,9,8,28,8,16,16,14,14,11,13,10,14,13,13,10,16,10,16,14,10,10,12,11,15,8
"38",16,13,14,13,11,10,52,11,9,11,9,15,14,9,12,11,15,20,50,8,11,18,19,13,16,19,19,11,11,18,2,18,10,9,9,11,16,9,16,15
"39",8,18,11,13,29,15,16,18,10,8,12,18,17,10,17,19,18,8,8,11,12,13,16,11,15,14,8,15,35,16,17,18,11,16,14,8,15,9,13,13
"40",86,10,12,10,9,75,13,10,14,9,12,11,14,12,9,13,15,9,7,10,11,13,10,15,11,13,16,15,14,10,9,11,10,60,10,15,10,12,9,15
"41",14,9,112,8,12,10,21,12,9,10,10,16,113,10,16,28,13,21,9,12,12,11,9,11,19,9,26,24,14,12,12,10,13,11,24,15,13,14,15,9
"42",20,17,15,20,83,12,34,9,16,34,14,41,11,13,14,14,10,15,13,17,11,10,19,17,18,12,35,42,12,22,48,93,25,24,21,9,34,26,15,15
"43",24,16,9,23,13,27,10,11,67,14,14,11,39,9,86,10,24,10,25,9,36,16,15,10,11,14,12,14,10,9,18,20,22,13,11,25,10,9,11,10
"44",23,22,27,10,9,26,13,23,15,26,25,15,25,15,11,20,19,8,13,9,9,56,12,7,23,10,9,9,50,11,21,21,24,9,11,9,15,19,9,17
"45",32,10,10,17,11,13,10,10,21,71,18,76,19,10,11,26,13,28,14,39,29,15,18,23,11,16,17,11,10,15,9,21,9,11,9,31,21,17,18,10
"46",10,18,13,15,11,18,15,33,7,15,14,19,18,9,24,11,14,14,9,13,10,10,11,18,15,17,17,12,16,16,16,29,9,10,17,8,15,13,14,17
"47",28,11,14,44,13,14,15,26,12,10,18,15,21,31,17,21,9,25,8,32,46,19,21,18,20,15,10,10,13,31,17,16,10,20,21,21,22,28,13,23
"48",17,8,15,21,14,15,10,39,20,13,11,17,13,9,11,13,10,9,39,10,12,19,12,15,17,14,10,9,13,14,19,22,19,18,20,18,10,15,12,16
"49",13,11,12,14,15,16,13,10,35,13,14,13,18,16,14,17,14,16,17,11,12,14,10,9,12,14,12,11,13,15,33,13,14,13,16,11,13,9,11,13
"50",14,16,8,12,39,43,13,15,13,7,18,13,19,22,9,18,12,16,13,17,15,15,14,8,19,15,17,10,14,9,10,12,23,16,11,8,13,12,13,15
"51",20,13,19,14,12,9,13,15,9,15,10,10,17,15,14,16,10,11,10,33,13,9,13,7,19,14,12,15,12,16,31,12,17,9,13,21,11,14,9,10
"52",18,13,11,10,9,19,23,16,20,16,19,8,8,13,20,23,14,7,10,29,11,23,38,11,21,16,10,28,12,54,33,9,8,7,38,56,20,12,14,32
"53",11,49,11,7,10,8,9,13,15,269,13,23,9,9,7,11,10,15,15,23,15,12,9,10,17,19,20,13,20,26,11,12,15,15,9,19,13,13,17,13
"54",15,11,12,7,18,23,10,11,8,15,10,25,26,25,63,9,10,12,22,9,23,57,13,7,14,15,16,8,17,9,9,25,8,11,10,11,10,24,10,10
"55",9,11,14,12,11,13,11,38,14,10,12,11,11,16,9,20,13,17,14,11,14,19,38,13,9,13,8,11,13,13,11,11,19,12,11,13,14,18,10,15
"56",7,26,22,20,22,8,14,10,10,10,12,32,15,16,14,34,10,10,16,15,14,15,22,13,73,87,16,17,12,13,9,11,11,88,13,9,12,36,12,20
"57",11,8,20,7,10,12,9,19,16,20,10,21,10,15,10,10,17,12,17,9,86,13,19,362,18,9,9,14,46,12,16,7,10,25,12,10,12,11,372,19
"58",7,13,11,10,33,22,15,8,9,13,17,13,16,7,10,11,10,9,12,9,14,8,12,20,18,11,12,13,10,18,9,21,12,11,8,11,12,8,13,37
"59",9,13,19,10,11,12,22,21,12,23,11,16,19,21,28,32,13,19,14,12,20,21,20,15,11,11,24,11,16,19,9,10,31,12,11,21,9,24,16,13
