"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",35,18,12,13,16,11,9,20,9,19,15,9,14,19,19,12,11,17,8,9,18,18,14,16,12,19,12,19,14,11,8,8,20,10,18,8,9,22,16,34,20,10,21,19,18,20,11,9,16,18
"2",13,12,15,11,9,26,18,9,17,11,86,17,13,10,13,13,7,39,13,10,9,11,10,12,9,14,13,12,7,68,11,17,9,14,9,17,87,13,18,18,9,10,8,45,12,27,10,10,13,13
"3",17,12,14,10,14,15,12,9,16,13,9,16,110,9,19,12,17,11,85,13,14,20,61,12,18,10,10,12,9,9,14,18,21,23,10,10,22,15,374,22,19,16,394,19,369,15,22,9,18,17
"4",17,42,15,11,11,12,33,35,22,17,16,15,9,36,12,11,13,29,6,31,25,77,9,25,11,9,10,15,12,30,39,14,29,9,17,7,11,11,25,113,8,12,10,43,113,7,11,43,9,10
"5",11,14,9,11,16,94,16,10,19,15,41,12,15,16,12,13,10,12,12,16,90,20,31,10,15,18,16,17,19,22,11,19,38,13,9,72,9,14,13,14,7,14,15,19,18,33,24,25,12,12
"6",20,24,11,19,8,13,11,71,30,9,19,15,16,16,8,16,11,15,20,31,11,67,17,30,9,14,11,21,9,17,8,29,14,11,15,32,71,31,9,38,8,14,19,11,15,16,10,13,12,8
"7",25,18,15,11,21,17,11,12,26,9,12,23,10,17,18,7,26,17,18,10,14,22,58,11,25,10,22,20,9,13,11,25,19,9,12,19,13,27,9,26,48,10,10,27,20,24,13,17,25,22
"8",26,10,8,23,17,10,16,15,96,11,17,17,13,14,8,12,13,11,21,14,21,22,15,18,11,27,32,12,19,14,9,25,29,12,26,16,30,15,25,11,93,10,22,22,9,20,16,7,28,26
"9",11,15,14,9,36,14,103,10,10,24,11,14,12,36,8,37,117,12,13,16,15,28,18,16,12,9,20,10,24,11,16,37,8,13,14,11,8,16,28,12,30,9,30,7,11,9,7,17,117,18
"10",15,12,17,10,19,17,19,18,20,15,21,10,19,8,12,11,16,19,21,20,11,16,22,16,9,13,14,14,10,10,19,10,12,16,15,34,34,19,8,3,9,16,11,11,13,11,15,9,13,10
"11",23,15,19,15,17,9,9,11,18,38,11,16,26,12,15,9,20,15,12,21,36,9,11,22,16,15,20,17,8,11,15,19,18,18,21,8,10,7,8,8,17,11,20,8,24,9,21,9,10,19
"12",17,16,18,13,32,10,15,7,22,19,13,10,14,12,19,18,12,10,17,19,11,16,18,10,16,8,9,20,16,13,10,13,15,9,15,17,25,17,12,18,15,8,12,18,14,13,19,10,15,13
"13",10,13,8,10,10,21,11,77,13,16,14,16,68,21,8,8,24,9,11,18,22,9,11,11,17,16,20,19,22,11,8,33,19,23,17,18,30,9,12,10,8,7,19,16,16,18,17,16,12,15
"14",15,10,14,14,9,10,15,15,9,14,17,11,8,13,12,9,10,14,10,11,15,14,11,11,16,11,16,11,40,13,13,13,13,10,13,10,13,12,13,15,12,10,11,12,8,11,13,32,14,15
"15",20,17,18,14,11,17,9,33,15,12,19,11,19,13,17,18,2,17,10,12,15,13,9,14,21,7,18,9,19,16,13,14,18,36,11,19,8,19,13,19,18,7,15,10,9,8,12,19,10,19
"16",14,19,22,14,9,13,56,17,17,12,31,18,10,16,12,21,9,9,3,7,21,20,20,15,13,17,19,11,54,9,17,10,21,13,18,13,23,13,9,16,25,22,19,19,12,8,15,7,12,10
"17",21,12,13,28,22,13,25,15,7,23,11,50,10,25,11,15,17,16,16,27,25,14,19,10,9,17,10,50,12,14,16,25,22,19,8,16,11,10,18,19,10,10,21,10,24,11,7,19,11,11
"18",18,18,16,19,10,17,21,17,37,7,19,13,17,9,13,11,22,18,8,35,18,24,9,11,20,16,8,13,16,11,11,10,20,16,10,9,11,11,10,14,15,12,22,11,15,11,18,10,8,11
"19",9,11,15,12,9,20,39,8,29,15,12,12,27,13,10,13,19,14,7,17,12,14,20,22,14,7,14,14,14,13,11,18,44,19,23,8,18,11,9,15,18,8,8,13,13,9,13,15,15,23
"20",14,28,11,13,13,27,11,11,20,29,25,91,13,26,61,11,21,13,9,8,11,10,80,19,26,9,14,9,23,11,11,26,62,22,15,25,21,16,7,9,7,20,24,27,13,14,9,22,18,17
"21",9,9,21,17,10,19,11,16,18,15,9,18,16,10,19,11,13,16,11,15,9,16,18,19,12,23,10,53,60,47,16,16,11,10,17,12,31,9,17,107,20,14,16,9,11,15,8,8,10,113
"22",17,11,16,10,12,22,26,22,27,11,17,27,14,10,16,50,20,13,11,13,11,10,14,26,11,11,11,12,10,21,13,12,13,26,10,12,27,46,10,9,29,16,13,11,8,23,9,16,11,12
"23",14,16,10,9,12,15,11,14,12,10,9,13,12,14,15,11,13,7,10,32,9,9,11,207,11,11,14,87,58,14,8,14,9,10,7,11,209,12,13,10,12,11,9,11,9,12,11,14,10,9
"24",8,17,21,8,22,19,12,12,12,11,10,13,41,20,15,14,45,20,17,23,21,8,8,15,9,7,12,20,17,23,11,15,14,16,18,19,11,19,24,20,10,9,10,9,8,13,11,16,9,14
"25",12,10,14,18,50,17,19,12,14,20,8,8,7,23,8,12,11,13,8,16,9,8,11,23,16,19,13,12,13,12,12,22,20,18,11,14,9,13,9,15,14,13,24,15,7,10,9,12,11,48
"26",23,7,22,6,9,10,8,242,35,13,10,15,16,82,16,16,16,16,21,21,7,9,12,17,10,6,26,14,9,11,15,11,11,9,7,20,11,11,11,247,14,20,9,9,8,15,12,46,24,16
"27",12,11,24,21,67,7,14,17,13,17,18,17,10,19,19,11,12,18,12,8,8,11,345,7,10,14,11,8,11,12,18,311,17,12,14,9,21,16,20,15,10,10,16,12,8,15,309,10,18,10
"28",10,13,17,19,17,9,7,9,12,12,14,11,17,40,15,19,15,20,28,25,10,19,13,20,9,10,18,12,16,10,11,12,17,10,19,10,16,10,18,16,13,11,11,14,42,13,9,17,10,9
"29",19,12,30,12,28,41,20,18,27,13,10,27,14,7,19,7,28,12,17,11,30,9,17,23,10,11,17,31,12,16,15,16,27,11,9,16,13,15,17,19,41,31,14,17,9,26,16,27,16,29
"30",13,9,11,17,10,21,11,9,12,10,13,20,7,14,20,18,23,9,14,8,35,9,9,22,17,10,9,22,10,8,9,13,15,10,20,21,8,13,34,13,16,11,22,21,9,13,21,10,20,21
"31",13,9,10,27,11,11,10,9,8,15,11,12,11,10,14,11,13,9,13,13,11,13,9,14,11,13,9,9,9,10,14,12,11,12,12,13,14,13,13,13,9,12,13,13,14,12,3,26,14,11
"32",25,28,15,39,15,12,15,13,14,16,21,14,8,19,10,18,18,10,10,9,27,9,156,10,13,16,10,32,18,13,12,26,10,29,12,10,12,15,13,17,7,11,159,16,8,20,10,98,14,9
