"difference_score"	"sample_size"
"1"	0.118779994636672	10
"2"	0.0997561528546748	20
"3"	0.0691446462376848	30
"4"	0.0609818840090851	40
"5"	0.0472136431390771	50
"6"	0.0464306049647623	60
"7"	0.0463651061792827	70
"8"	0.0761262503859814	80
"9"	0.0726698144321811	90
"10"	0.0764114064361578	100
"11"	0.0276967759081331	200
"12"	0.0300308835664224	300
"13"	0.0247930525651692	400
"14"	0.0251714765155255	500
"15"	0.0191283799612316	600
"16"	0.0243109411412624	700
"17"	0.0574756788603168	800
"18"	NA	NA
